message_id,case_id,family_id,profile_id,session_scope_id,speaker,turn_index,message_text,message_length_chars,detected_category,primary_state,created_at
da2dc262-7dfc-421c-8658-18ee01527666,64f1d3f6-dc40-4904-af2a-641805094006,02402def-d911-468c-88fa-4a691bbb79d6,144b8108-f23c-4bf5-aab9-27382ba12462,session_02402def_01,user,1,Cuando hay que cambiar de actividad todo se complica.,53,transicion_rigidez,general_distress,2026-02-04T09:38:00
6dfd9b46-fd9c-4f78-a862-a92350770b75,64f1d3f6-dc40-4904-af2a-641805094006,02402def-d911-468c-88fa-4a691bbb79d6,144b8108-f23c-4bf5-aab9-27382ba12462,session_02402def_01,assistant,2,Estoy contigo. Vamos a ir por una sola acción posible ahora.,60,transicion_rigidez,general_distress,2026-02-04T09:39:00
7d29e866-84ee-42fc-8f52-2fd38f2d5415,64f1d3f6-dc40-4904-af2a-641805094006,02402def-d911-468c-88fa-4a691bbb79d6,144b8108-f23c-4bf5-aab9-27382ba12462,session_02402def_01,user,3,Cuando intento explicarle en ese momento se enoja más.,54,transicion_rigidez,general_distress,2026-02-04T09:40:00
4b72bb69-d7af-4d92-86a6-1c3b4f3886d9,64f1d3f6-dc40-4904-af2a-641805094006,02402def-d911-468c-88fa-4a691bbb79d6,144b8108-f23c-4bf5-aab9-27382ba12462,session_02402def_01,assistant,4,No necesitas resolverlo todo de golpe. Veamos qué está pesando más.,67,transicion_rigidez,general_distress,2026-02-04T09:41:00
3cd964b5-70e4-4eab-86b9-5323d062b28c,64f1d3f6-dc40-4904-af2a-641805094006,02402def-d911-468c-88fa-4a691bbb79d6,144b8108-f23c-4bf5-aab9-27382ba12462,session_02402def_01,user,5,"En la escuela dicen que no participa, pero en casa veo que sí quiere y no puede arrancar.",89,transicion_rigidez,general_distress,2026-02-04T09:42:00
1e0456c6-b509-430d-a86d-fc049bd72cea,64f1d3f6-dc40-4904-af2a-641805094006,02402def-d911-468c-88fa-4a691bbb79d6,144b8108-f23c-4bf5-aab9-27382ba12462,session_02402def_01,assistant,6,No necesitas resolverlo todo de golpe. Veamos qué está pesando más.,67,transicion_rigidez,general_distress,2026-02-04T09:43:00
19c1a189-91e5-4802-9abc-a4541205e353,64f1d3f6-dc40-4904-af2a-641805094006,02402def-d911-468c-88fa-4a691bbb79d6,144b8108-f23c-4bf5-aab9-27382ba12462,session_02402def_01,user,7,Yo también ya estaba muy saturada y siento que eso empeoró todo.,64,transicion_rigidez,general_distress,2026-02-04T09:44:00
f4bab795-b265-40e3-beab-7c4a723ec312,64f1d3f6-dc40-4904-af2a-641805094006,02402def-d911-468c-88fa-4a691bbb79d6,144b8108-f23c-4bf5-aab9-27382ba12462,session_02402def_01,assistant,8,"Antes de seguir, dime qué se ve más intenso ahora mismo: ruido, cansancio, tarea o emoción.",91,transicion_rigidez,general_distress,2026-02-04T09:45:00
ffcc6c9f-bad2-48fb-ade4-473c54fa4667,64f1d3f6-dc40-4904-af2a-641805094006,02402def-d911-468c-88fa-4a691bbb79d6,144b8108-f23c-4bf5-aab9-27382ba12462,session_02402def_01,user,9,Lo intenté antes y funcionó solo un rato.,41,transicion_rigidez,general_distress,2026-02-04T09:46:00
0a719edf-b8ee-461f-8801-004b7e79afd5,64f1d3f6-dc40-4904-af2a-641805094006,02402def-d911-468c-88fa-4a691bbb79d6,144b8108-f23c-4bf5-aab9-27382ba12462,session_02402def_01,assistant,10,No necesitas resolverlo todo de golpe. Veamos qué está pesando más.,67,transicion_rigidez,general_distress,2026-02-04T09:47:00
